,All CT,All MA,All NJ,All NY,All RI,All Total,Rest CT,Rest MA,Rest NJ,Rest NY,Rest RI,Rest Total,Ent CT,Ent MA,Ent NJ,Ent NY,Ent RI,Ent Total,Cloth CT,Cloth MA,Cloth NJ,Cloth NY,Cloth RI,Cloth Total,Groc CT,Groc MA,Groc NJ,Groc NY,Groc RI,Groc Total,Health CT,Health MA,Health NJ,Health NY,Health RI,Health Total,Gen CT,Gen MA,Gen NJ,Gen NY,Gen RI,Gen Total
1/1/2020,1.22%,0.47%,0.74%,1.09%,0.45%,0.79%,2.00%,0.53%,0.23%,0.74%,2.24%,1.15%,-3.58%,-2.19%,2.41%,1.77%,-0.45%,-0.41%,-0.07%,-0.09%,-0.29%,0.14%,3.71%,0.68%,1.73%,0.44%,0.43%,1.00%,2.05%,1.13%,10.10%,0.43%,0.36%,0.70%,4.20%,3.16%,-0.07%,-0.09%,-0.29%,0.14%,3.71%,0.68%
2/1/2020,-0.96%,-0.80%,-0.56%,-2.20%,0.29%,-0.85%,-5.08%,-3.30%,-1.35%,-4.08%,-8.89%,-4.54%,4.69%,0.73%,-2.13%,1.28%,1.46%,1.20%,5.18%,0.13%,-1.47%,-2.09%,-5.31%,-0.71%,-0.62%,1.73%,-0.78%,-0.79%,-0.71%,-0.23%,-5.73%,6.50%,-0.47%,-2.23%,6.41%,0.90%,5.18%,0.13%,-1.47%,-2.09%,-5.31%,-0.71%
3/1/2020,-12.47%,-12.59%,-11.00%,-11.94%,-16.53%,-12.91%,-35.66%,-34.26%,-32.03%,-33.45%,-42.38%,-35.56%,-37.56%,-36.89%,-33.88%,-39.88%,-49.92%,-39.63%,-21.79%,-23.10%,-23.68%,-24.75%,-22.11%,-23.09%,32.94%,28.66%,29.38%,27.60%,22.33%,28.18%,-27.40%,-23.76%,-25.23%,-26.54%,-14.70%,-23.52%,-21.79%,-23.10%,-23.68%,-24.75%,-22.11%,-23.09%
4/1/2020,-33.36%,-30.55%,-27.35%,-28.75%,-37.53%,-31.51%,-71.55%,-65.37%,-63.43%,-65.56%,-73.45%,-67.87%,-71.04%,-74.71%,-63.96%,-76.33%,-77.16%,-72.64%,-47.47%,-41.92%,-44.68%,-44.00%,-50.59%,-45.73%,20.10%,15.92%,16.36%,13.17%,5.27%,14.16%,-55.98%,-55.02%,-58.51%,-61.69%,-61.73%,-58.59%,-47.47%,-41.92%,-44.68%,-44.00%,-50.59%,-45.73%
5/1/2020,-22.04%,-17.87%,-14.68%,-16.18%,-24.31%,-19.01%,-60.99%,-55.83%,-51.86%,-54.18%,-66.43%,-57.86%,-63.13%,-68.13%,-53.82%,-70.04%,-70.68%,-65.16%,-31.82%,-22.26%,-27.77%,-28.08%,-32.41%,-28.47%,21.49%,19.78%,24.09%,19.30%,5.66%,18.06%,-51.39%,-45.58%,-45.25%,-51.21%,-45.29%,-47.74%,-31.82%,-22.26%,-27.77%,-28.08%,-32.41%,-28.47%
6/1/2020,-13.65%,-9.44%,-6.71%,-8.94%,-15.72%,-10.89%,-48.77%,-42.66%,-39.37%,-42.21%,-53.75%,-45.35%,-53.23%,-49.50%,-40.64%,-57.20%,-46.52%,-49.42%,-12.15%,-5.80%,-12.99%,-15.41%,-20.90%,-13.45%,15.74%,13.74%,18.88%,12.82%,1.77%,12.59%,-22.68%,-23.70%,-20.87%,-24.87%,-17.69%,-21.96%,-12.15%,-5.80%,-12.99%,-15.41%,-20.90%,-13.45%
7/1/2020,-9.75%,-4.66%,-5.15%,-6.19%,-9.87%,-7.12%,-43.25%,-30.14%,-33.06%,-33.83%,-43.79%,-36.81%,-47.26%,-47.65%,-40.25%,-57.03%,-42.96%,-47.03%,-4.97%,4.07%,3.22%,-0.44%,-4.09%,-0.44%,16.63%,14.10%,12.21%,10.69%,1.83%,11.09%,-5.79%,-13.32%,-13.75%,-11.27%,14.92%,-5.84%,-4.97%,4.07%,3.22%,-0.44%,-4.09%,-0.44%
8/1/2020,-8.68%,-6.04%,-5.16%,-4.60%,-8.41%,-6.58%,-35.85%,-26.93%,-29.25%,-28.43%,-37.45%,-31.58%,-50.00%,-43.20%,-40.12%,-56.09%,-48.31%,-47.55%,-7.48%,-7.26%,-1.21%,-2.49%,-16.46%,-6.98%,19.73%,14.48%,11.03%,12.99%,0.37%,11.72%,-18.20%,-11.59%,-14.63%,-7.13%,-7.90%,-11.89%,-7.48%,-7.26%,-1.21%,-2.49%,-16.46%,-6.98%
9/1/2020,-3.06%,-2.05%,-3.67%,-1.89%,-5.67%,-3.27%,-29.41%,-22.74%,-21.49%,-22.24%,-34.70%,-26.12%,-48.05%,-39.75%,-35.11%,-46.03%,-31.53%,-40.09%,5.23%,4.15%,2.67%,2.43%,-3.68%,2.16%,25.85%,17.19%,8.91%,13.88%,2.50%,13.66%,-18.55%,-11.51%,-16.92%,-9.15%,-1.94%,-11.62%,5.23%,4.15%,2.67%,2.43%,-3.68%,2.16%
10/1/2020,2.38%,3.06%,-0.82%,-0.82%,-4.31%,-0.10%,-28.70%,-21.25%,-20.28%,-24.38%,-35.91%,-26.11%,-45.46%,-50.28%,-32.18%,-45.78%,-54.44%,-45.63%,7.23%,4.99%,6.61%,1.38%,-6.17%,2.81%,31.26%,28.72%,11.34%,14.13%,7.86%,18.66%,-1.00%,-8.35%,-8.85%,-2.69%,16.36%,-0.91%,7.23%,4.99%,6.61%,1.38%,-6.17%,2.81%
11/1/2020,0.72%,0.15%,-2.09%,-3.37%,0.55%,-0.81%,-35.25%,-26.39%,-25.55%,-28.63%,-38.38%,-30.84%,-49.84%,-52.10%,-36.29%,-54.33%,-57.38%,-49.99%,4.53%,3.38%,5.32%,-0.21%,-3.72%,1.86%,30.78%,24.51%,15.75%,13.32%,15.42%,19.96%,-7.77%,-19.90%,-11.76%,-4.81%,-5.01%,-9.85%,4.53%,3.38%,5.32%,-0.21%,-3.72%,1.86%
